Brand,Category,Type
"CURTIS, 58100282 TLXG1501S000 - 1.5 - GAL. STANDARD NON - BRANDED GRAVITY SERVER W/BASE",Foodbuy Accessories,Expendable
"CURTIS, 58100571, TFT15G - 1.5 GAL. SERVER",Foodbuy Accessories,Expendable
"CURTIS, 58100521 TXSG0301S200, 3 GAL OMG SERVER",Foodbuy Accessories,Expendable
"CURTIS, 5880241 GEM-3 SATELLITE SERVER 1-1/2 GAL",Foodbuy Accessories,Expendable
"CURTIS, 5880247 GEM-5 SATELLITE WARMER STAND-115V",Foodbuy Accessories,Expendable
"CURTIS, 5880238 GEM-3 & 5, SERVER AND WARMER 110V",Foodbuy Accessories,Expendable
"CURTIS, 58100516, GEM3IF SHUTTLE 1.5G",Foodbuy Accessories,Expendable
"CURTIS, 58100517, GEM5IF WARMER 110V",Foodbuy Accessories,Expendable
"BUNN, 589845, 27850.0001 - 1.5 SH SERVER, TOP HANDLES-S.S.",Foodbuy Accessories,Expendable
"CURTIS, 5887692 CLXP6401S000 - POURPOT, 1.9L, 5.6""H, SS SERVER - CURTIS",Foodbuy Accessories,Expendable
"CURTIS, 5884429 CLXP6401S000D - POURPOT, 1.9L, 5.6""H, SS SERVER - CURTIS ""DECAF""",Foodbuy Accessories,Expendable
"CURTIS, 5887726 TLXP1901S000 - POURPOT, 1.9L, 8""H, SS SERVER - CURTIS",Foodbuy Accessories,Expendable
"CURTIS, 5887718 TLXP1201S000 - 1.2 L POURPOT, S.S. BODY, S.S. LINED",Foodbuy Accessories,Expendable
"GOODWEST, HERSHEY'S 3 HD POS ONLY, FRONT DOOR AND DRIP TRAY LABEL",Goodwest,Equipment
"CURTIS, 58103500, TLXP1201S000 - 1.2 L POURPOT, S.S. BODY, S.S. LINED",Coffee Dispensers,Expendable
"CURTIS, 58103501, TLXP1201S000D - 1.2 L POURPOT, S.S. BODY, S.S. LINED - DECAF TOP",Coffee Dispensers,Expendable
"RCW USA, 58100263 32OZ STEAMING PITCHER",Espresso Accessories,Expendable
"RCW USA, 58100267 KNOCK BOX 6"" X 5.5"" X 4",Espresso Accessories,Expendable
"URNEX, 9700121 URNEX CAFIZA CLEANING TABS",Espresso Accessories,Expendable
"URNEX, 9700939 URNEX RINZA MILK CLEANER",Espresso Accessories,Expendable
"CURTIS, 58100458, TEA BREWER, BAG IN BOX SWEETENER WITH PUMP (2 CONTAINER)",Iced Tea,Equipment
"HKG, 58102746, TECHNIBREW K-CUP IN-ROOM BREWER",In_Room,Expendable
"QUINS, 9500577 3 TIER FB DISPLAY RACK",Racks,Expendable
"QUINS, 9500578 3 TIER RACK TRAY SMALL ACRYLIC",Racks,Expendable
"CURTIS, 5890702, SINGLE AP/B D500GT DUAL VOLTAGE",Airpot Brewers,Equipment
"QUINS, 9500579 3 TIER RACK TRAY LARGE ACRYLIC",Racks,Expendable
"REDMAN, 9500224 AIRPOT WIRE RACK 3 POT (ADD 6000668 & 6000669 X 3)",Racks,Expendable
"REDMAN, 9500288 HOT CUP DISPENSER RACK",Racks,Expendable
"REDMAN, 9500468 DISPLAY RACK 4, SYRUP - CREAMER",Racks,Expendable
"REDMAN, 9500469 DISPLAY RACK 8, SYRUP - CREAMER",Racks,Expendable
"REDMAN, 9500584 COLD CUP DISPENSER RACK",Racks,Expendable
"REDMAN, 9500620 TEA RACK FB",Racks,Expendable
"REDMAN, 9500627 AIRPOT WIRE RACK 4 POT (ADD 6000668 & 6000669 X 4)",Racks,Expendable
"CURTIS, WCDTP-20, 20"" PLASTIC DRIP TRAY",Shuttle Brewers,Equipment
"SPECIALTY SIMONELLI, 58100837, Oscar II Pour Over (Black) MOSCAIITEM01ND0001",Espresso,Equipment
